reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
958,19,1,金剛頂經一字頂輪王儀軌音義,Jingang Ding Jing Yizi Ding Lunwang Yi Gui Yin Yi,Vajra Crown Sutra One Word Wheel Crown Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,"The text is one of a group that describes a 一字 'one word' mantra, which is a magic word.",This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera canon published in first year of the Kyōwa era [1801-1804].,Hase-dera,http://tripitaka.cbeta.org/T19n0958,2016-10-02
959,19,1,頂輪王大曼荼羅灌頂儀軌,Ding Lunwang Da Mantuluo Guan Ding Yi Gui,Ritual Manual for Initiation into the Great Mandala of the Usnisa-Cakravartin,辯弘,譯,Bian Hong,Translated,唐,Tang,618-907,Describes a coronation ritual for a Cakravartin ruler.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞東寺三密藏古寫本 Source: Tō-ji Sanmitsu Canon old manuscript.,Sanmitsu Canon,http://tripitaka.cbeta.org/T19n0959,2016-10-02
960,19,1,一切如來說佛頂輪王一百八名讚,Yiqie Rulai Shuo Fo Ding Lunwang Yibai Ba Ming Zan,Verses of All the Tathagatas Speaking the Buddha Crown Wheel Turning King's One Hundred and Eight Names,施護,譯,Dānapāla,Translated,宋,Song,960-1279,"A list of all the names, as described in the title of the text.","Korean Canon parallel from Lancaster (2004, 'K 1197')",Korean Canon,http://tripitaka.cbeta.org/T19n0960,2016-10-02
961,19,1,如意寶珠轉輪祕密現身成佛金輪呪王經,Ruyi Bao Zhu Zhuanlun Mimi Xianshen Cheng Fo Jin Lun Zhou Wang Jing,Mani Jewel Wheel Secret Body to Attain Enlightenment Gold Wheel Mantra Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,"The text describes the story of the Mani Jewel Wheel, a picture of a mandala, mantras, and a homa (fire) ritual.",The source text has a picture of a mandala that is may not be shown in the NTI Reader correctly. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Source: Buzan college Canon published in the Kyōhō era [1716-1736].,Buzan college Canon,http://tripitaka.cbeta.org/T19n0961,2016-10-02
962,19,1,寶悉地成佛陀羅尼經,Bao Xi Di Cheng Fo Tuoluoni Jing,Supernatural Powers and Enlightenment Dharani Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,"Describes a ritual, including mantras for attaining spiritual powers and enlightenment.",This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Source: Buzan college Canon published in the Kyōhō era.,Buzan college Canon,http://tripitaka.cbeta.org/T19n0962,2016-10-02
963,19,1,佛說熾盛光大威德消災吉祥陀羅尼經,Fo Shuo Chisheng Guang Da Weide Xiao Zai Jixiang Tuoluoni Jing,Tejaprabha Great Majestic and Virtuous Averting Calamities Auspicious Dharani Sūtra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Describes the Blazing Light Dharani to avoid disasters due to inauspicious star alignments.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本, 此經麗宋元三本欠 Source: Ming canon, this sutra is not in the Korean-Song-Yuan canons.",Ming canon,http://tripitaka.cbeta.org/T19n0963,2016-10-02
964,19,1,佛說大威德金輪佛頂熾盛光如來消除一切災難陀羅尼經,Fo Shuo Da Wei De Jin Lun Fo Ding Chisheng Guang Rulai Xiaochu Yiqie Zainan Tuoluoni Jing,Yamantaka Golden Wheel Buddha Crown Blazing Light Tathagata Eliminates all Disasters Dharani Sutra,失,譯,Unknown,,,,618-907,Similar to T 963.,"Date 618-907 from Lancaster (2004, 'K 1171')",Korean Canon,http://tripitaka.cbeta.org/T19n0964,2016-10-02
965,19,1,大妙金剛大甘露軍拏利焰鬘熾盛佛頂經,Da Miao Jingang Da Ganlu Jun Na Li Yan Man Chisheng Fo Ding Jing,"Wonderful Vajra Ambrosia Kundali, Yamantaka Blazing Buddha Crown Sutra",達磨栖那,譯,Damoqina,Translated,唐,Tang,618-907,This text is one of a group of 諸佛頂儀軌類 Buddha crown ritual manuals (944–981).,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豐山大學藏本 Source: Buzan college Canon published in the Kyōhō era [1716-1736].,Buzan college Canon,http://tripitaka.cbeta.org/T19n0965,2016-10-02
966,19,1,大聖妙吉祥菩薩說除災教令法輪,Da Sheng Miao Jixiang Pusa Shuo Chu Zai Jiao Ling Falun,Great Holy Wonderful Luck Bodhisattva Discourses on the Removal of Calamities Causing the Dharma Wheel to Turn,尸羅跋陀羅,譯,Shiluo Batuoluo,Translated,唐,Tang,618-907,"The primary text for the 熾盛光法 Blazing Light Ritual, a ritual to avoid disasters; one of the four great rituals of the Mountain School of the Tendai sect.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞貞元十二年寫高野山寶壽院藏本, ＜乙＞石山寺藏古寫本 Source: Buzan college Canon published in the Kyōhō era [1716-1736]; 1. manuscript from Mount Kōya Hojuin Temple collection, 12th year of the Jōgen era [976-978]; 2. Ishiyama-dera collection old manuscript.",Buzan college Canon,http://tripitaka.cbeta.org/T19n0966,2016-10-02
967,19,1,佛頂尊勝陀羅尼經,Fo Ding Zun Sheng Tuoluoni Jing,Usnisa Vijaya Dharani Sutra,佛陀波利,譯,Buddhapāla,Translated,唐,Tang,618-907,Same as T 968 but with additional prefaces. See also T 970.,"A Taishō footnote for this text reads: ＜原＞麗本, ＜甲＞黄檗版淨嚴等加筆本, 此經増上寺元本缺, 此序麗宋二本倶無之今依明本載之 Source: Korean Canon; 1. Ōbaku Canon with notes by Jōgon, not included in Zōjō-ji Puning Canon; the Korean Canon does not have the prefaces included in this Ming Canon version.",Korean Canon,http://tripitaka.cbeta.org/T19n0967,2016-10-02
968,19,1,佛頂尊勝陀羅尼經,Fo Ding Zun Sheng Tuoluoni Jing,Usnisa Vijaya Dharani Sutra,杜行顗,譯,Du Xingyi,Translated,唐,Tang,679,See T 970.,"Sanskrit title and date 679 from Lancaster (2004, 'K 319')",Korean Canon,http://tripitaka.cbeta.org/T19n0968,2016-10-02
969,19,1,佛頂最勝陀羅尼經,Fo Ding Zui Sheng Tuoluoni Jing,Usnisa Vijaya Dharani Sutra,地婆訶羅,譯,Divākara,Translated,唐,Tang,682,See T 970.,"Sanskrit title and date 682 from Lancaster (2004, 'K 320')",Korean Canon,http://tripitaka.cbeta.org/T19n0969,2016-10-02
970,19,1,最勝佛頂陀羅尼淨除業障呪經,Zui Sheng Fo Ding Tuoluoni Jing Chu Yezhang Zhou Jing,Sūtra of the Buddha-Crown Superb Victory Dhāraṇī,地婆訶羅,譯,Divākara,Translated,唐,Tang,676-688,Describes a ritual for ceasing of calamities and curing of illness.,"Sanskrit title and date 676-688 from Lancaster (2004, 'K 322')",Korean Canon,http://tripitaka.cbeta.org/T19n0970,2016-10-02
971,19,1,佛說佛頂尊勝陀羅尼經,Fo Shuo Fo Ding Zun Sheng Tuoluoni Jing,Sarvadurgatipariśodhana-uṣṇīṣavijayadhāraṇī,義淨,譯,Yijing,Translated,唐,Tang,710,See T 970.,"Sanskrit title and date 710 from Lancaster (2004, 'K 323')",Korean Canon,http://tripitaka.cbeta.org/T19n0971,2016-10-02
972,19,1,佛頂尊勝陀羅尼念誦儀軌法,Fo Ding Zun Sheng Tuoluoni Niansong Yi Gui Fa,Pinnacle Dharani of the Supreme Honored One,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Describes a ritual including the 尊勝曼荼羅 Supreme Mandala; this text is one of a group of 諸佛頂儀軌類 Buddha crown ritual manuals (944–981); see also T 970.,"Date 720-774 from Lancaster (2004, 'K 1314')",Korean Canon,http://tripitaka.cbeta.org/T19n0972,2016-10-02
973,19,2,尊勝佛頂脩瑜伽法軌儀,Zun Sheng Fo Ding Xiu Yujia Fa Gui Yi,Supreme Buddha Crown Yoga Cultivation Ritual Manual,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,See T 972.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豐山大學藏本, ＜甲＞高山寺藏古寫本, ＜乙＞天治元年寫東寺三密藏本, ＜丙＞寛治八年寫仁和寺藏本 Source: Buzan college Canon published in the Kyōhō era [1716-1736]; 1. Takayama Temple collection old manuscript; 2. Tō-ji Sanmitsu Canon, first year of the Tenji era [1124-1126]; 3. manuscript from Ninna-ji collection, 8th year of the Kanji era [1087-1095].",Buzan college Canon,http://tripitaka.cbeta.org/T19n0973,2016-10-02
974A,19,1,最勝佛頂陀羅尼經,Zui Sheng Fo Ding Tuoluoni Jing  ,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇi,法天,譯,Fa Tian,Translated,宋,Song,988,See T 970.,"Sanskrit title and date 710 from Lancaster (2004, 'K 1091')",Korean Canon,http://tripitaka.cbeta.org/T19n0974A,2016-10-02
974B,19,1,佛頂尊勝陀羅尼,Fo Ding Zun Sheng Tuoluoni  ,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇi,,,,,,,,"Siddhaṃ script verssion of T 974A, see also T 970.",This text includes Siddhaṃ script that is not displayed properly. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞東寺三密藏古寫本 Source: Tō-ji Sanmitsu Canon old manuscript.,Sanmitsu Canon,http://tripitaka.cbeta.org/T19n0974B,2016-10-02
974C,19,1,加句靈驗佛頂尊勝陀羅尼記,Jia Ju Lingyan Fo Ding Zun Sheng Tuoluoni Ji,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇi,武徹,述,Wu Che,Narrated,唐,Tang,618-907,See T 970.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞大日本續藏經 Source: Ming Canon.,Ming Canon,http://tripitaka.cbeta.org/T19n0974C,2016-10-02
974D,19,1,佛頂尊勝陀羅尼注義,Fo Ding Zun Sheng Tuoluoni Zhu Yi,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇi,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See T 970.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞大日本續藏經 Source: Ming Canon.,Ming Canon,http://tripitaka.cbeta.org/T19n0974D,2016-10-02
974E,19,1,佛頂尊勝陀羅尼真言,Fo Ding Zun Sheng Tuoluoni Zhenyan,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇi,,,,,,,,See T 970.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞平安時代寫東寺三密藏本, ＜甲＞大日本續藏經 Source: Tō-ji Sanmitsu Canon manuscript, Heian Period; 1. Dai Nippon Zokuzōkyō [Supplementary Buddhist Canon].",Sanmitsu Canon,http://tripitaka.cbeta.org/T19n0974E,2016-10-02
974F,19,1,佛頂尊勝陀羅尼別法,Fo Ding Zun Sheng Tuoluoni Bie Fa,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇi,若那,譯,Ruo Na,Translated,唐,Tang,618-907,See T 970.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞大日本續藏經 Source: Dai Nippon Zokuzōkyō [Supplementary Buddhist Canon].,Dai Nippon Zokuzōkyō,http://tripitaka.cbeta.org/T19n0974F,2016-10-02
975,19,1,白傘蓋大佛頂王最勝無比大威德金剛無礙大道場陀羅尼念誦法要,Bai Sangai Da Fo Ding Wang Zui Sheng Wubi Da Wei De Jingang Wu'ai Dadao Chang Tuoluoni Niansong Fa Yao ,White Canopy Great Buddha Crown Supreme Attainment Vajra Unobstructed Bohdimandala Dharani Liturgy,,,,,,,,"One of a group of three texts about the 白傘 White Canopy, one of the five 佛頂 Buddha Crowns; see T 976.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞延享元年刊豊山大學藏本, ＜甲＞高山寺藏古寫本 Source: Buzan college Canon published first year of the Enkyō era [1744-1748]; 1. Takayama Temple collection old manuscript.",Buzan college Canon,http://tripitaka.cbeta.org/T19n0975,2016-10-02
976,19,1,佛頂大白傘蓋陀羅尼經,Fo Ding Dabai Sangai Tuoluoni Jing,White Canopy Buddha Crown Dharani Sutra,沙囉巴,譯,Shaluoba,Translated,元,Yuan,1271 -1368,"Describes the esoteric 白傘 White Canopy Buddha Crown dharani, ritual, and the virtue of performing it.",This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞元本 Source: Yuan version [Puning Canon].,Puning Canon,http://tripitaka.cbeta.org/T19n0976,2016-10-02
977,19,1,佛說大白傘蓋總持陀羅尼經,Fo Shuo Dabai Sangai Zong Chi Tuoluoni Jing,White Canopy Buddha Crown Summary Dharani Sutra,真智等,譯,Zhen Zhi and others,Translated,元,Yuan,1271 -1368,"One of a group of three texts about the 白傘 White Canopy, one of the five 佛頂 Buddha Crowns; see T 976.",This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本 Source: Ming Canon.,Ming Canon,http://tripitaka.cbeta.org/T19n0977,2016-10-02
978,19,1,佛說一切如來烏瑟膩沙最勝總持經,Fo Shuo Yiqie Rulai Wu Se Ni Sha Zui Sheng Zong Chi Jing,Sarvadurgatipariśodhanauṣṇīṣavijayadhāraṇī,法天,譯,Fa Tian,Translated,宋,Song,994,See T 970.,"Sanskrit title and date 994 from Lancaster (2004, 'K 1204')",Korean Canon,http://tripitaka.cbeta.org/T19n0978,2016-10-02
979,19,1,于瑟抳沙毘左野陀囉尼,Yusenisha Pizuoye Tuoluoni,Usnisa Dharani,指空,譯,Dhyānabhadr,Translated,高麗,Goryeo,918-1392,This text is one of a group of 諸佛頂儀軌類 Buddha crown ritual manuals (944–981).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞東熙三十七年刊眞言集東京帝國大學梵文研究室藏本 Source: Tokyo Imperial University Sanskrit Research Repository Dharani Collection, 17th year of the 東熙 era [can't find it].",Tokyo Imperial University Sanskrit Research Repository,http://tripitaka.cbeta.org/T19n0979,2016-10-02
980,19,1,大勝金剛佛頂念誦儀軌,Da Sheng Jingang Fo Ding Niansong Yi Gui,Victorious Vajra Usnisa Liturgy,金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,This text is one of a group of 諸佛頂儀軌類 Buddha crown ritual manuals (944–981).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞康元二年寫東寺三密藏本 Source: Tō-ji Sanmitsu Canon, Kōgen era [1256-1257].",Sanmitsu Canon,http://tripitaka.cbeta.org/T19n0980,2016-10-02
981,19,1,大毘盧遮那佛眼修行儀軌,Da Piluzhena Fo Yan Xiuxing Yi Gui,Vairocana Buddha Eye Liturgy,一行,記,Yi Xing,Recorded,唐,Tang,618-907,This text is one of a group of 諸佛頂儀軌類 Buddha crown ritual manuals (944–981).,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞保安四年寫仁和寺藏本, ＜乙＞高山寺藏古寫本 Source: Buzan college Canon, published in the Kyōhō era; 1. Ninna-ji collection old manuscript, 4th year of the Hōan era [1120-1124]; 2. Takayama Temple collection old manuscript.",Buzan college Canon,http://tripitaka.cbeta.org/T19n0981,2016-10-02
982,19,3,佛母大孔雀明王經,Fomu Da Kongque Ming Wang Jing,Mahāmayūrīvidyārājñīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 986.,"Sanskrit title and date 720-774 from Lancaster (Lancaster 2004, 'K 1293')",Korean Canon,http://tripitaka.cbeta.org/T19n0982,2016-10-02
983A,19,1,佛說大孔雀明王畫像壇場儀軌,Fo Shuo Da Kongque Ming Wang Huaxiang Tan Chang Yi Gui,Mahāmāyūrīvidyārājñī,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 986.,"A Taishō footnote for this text reads: ＜原＞麗本, ＜甲＞仁和寺藏古寫本, ＜乙＞黄檗版淨嚴等加筆本, 此軌宋元二本缺, 〔佛説〕－＜明＞＜乙＞ Source: Korean Canon; 1. Ninna-ji collection old manuscript; 2. Ōbaku Canon manuscript with notes by Jōgon; the Song or Yuan editions ommit 佛説 and 明 from their titles.",Korean Canon,http://tripitaka.cbeta.org/T19n0983A,2016-10-02
983B,19,1,孔雀經真言等梵本,Kongque Jing Zhenyan Deng Fan Ben,Mahāmāyūrīvidyārājñī,圓仁,請來,Ennin,Requested,唐,Tang,618-907,The Sanskrit text in Siddham script for T 983A; see also T 986.,"This text includes Siddhaṃ script that is not displayed properly. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞高野山高室院藏, ＜甲＞平安時代寫石山寺藏本 Source: Mount Kōya Takamuro-in collection; 1. Shishan Temple collection manuscript, Heian Period.",Mount Kōya Takamuro-in collection,http://tripitaka.cbeta.org/T19n0983B,2016-10-02
984,19,2,孔雀王呪經,Kongque Wang Zhou Jing,Mahāmāyūrividyārājñī,僧伽婆羅,譯,Saṅghabhara,Translated,梁,Liang,502-520,See T 986.,"Sanskrit title and date 502-520 from Lancaster (2004, 'K 307')",Korean Canon,http://tripitaka.cbeta.org/T19n0984,2016-10-02
985,19,3,佛說大孔雀呪王經,Fo Shuo Da Kongque Zhou Wang Jing,Mahāmāyūrividyārājñī,義淨,譯,Yijing,Translated,唐,Tang,705,See T 986.,"Sanskrit title and date 705 from Lancaster (2004, 'K 303')",Korean Canon,http://tripitaka.cbeta.org/T19n0985,2016-10-04
986,19,1,大金色孔雀王呪經,Da Jinse Kongque Wang Zhou Jing,Mahāmāyūrividyārājñī,失,譯,Unknown,Translated,,,350-431,"Tells a story about Ananda requesting help from the Buddha, who recites the Peahen Dharani. In some other versions the new monastic Svāti has been bitten by a snake and the Peahen Queen is able to cure snake bites. The text also describes some other dharanis to eliminate fear and attain good fortune. There are a number of Chinese translations of the Sanskrit source. T 986 is the shortest and simplest version.","Sanskrit title and date 350-431 from Lancaster (2004, 'K 305')",Korean Canon,http://tripitaka.cbeta.org/T19n0986,2016-10-04
987,19,1,佛說大金色孔雀王呪經,Fo Shuo Da Jinse Kongque Wang Zhou Jing,Mahāmāyūrividyārājñī,失,譯,Unknown,Translated,,,350-431,See T 986.,"Sanskrit title and date 350-431 from Lancaster (Lancaster 2004, 'K 306')",Korean Canon,http://tripitaka.cbeta.org/T19n0987,2016-10-04
988,19,1,孔雀王呪經,Kongque Wang Zhou Jing,Mahāmāyūrividyārājñī,鳩摩羅什,譯,Kumārajīva,Translated,姚秦,Later Qin,402-412,See T 986.,"Sanskrit title and date 402-412 from Lancaster (2004, 'K 304')",Korean Canon,http://tripitaka.cbeta.org/T19n0988,2016-10-04
989,19,2,大雲輪請雨經,Da Yun Lun Qing Yu Jing,Mahāmeghasūtra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,See T 991.,"Sanskrit title and date 746-774 from Lancaster (2004, 'K 1294')",Korean Canon,http://tripitaka.cbeta.org/T19n0989,2016-10-04
990,19,1,大雲經祈雨壇法,Da Yun Jing Qi Yu Tan Fa,Mahāmeghasūtra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See T 991.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞鎌倉時代寫仁和寺藏本, ＜甲＞大日本續藏經 Source: Kamakura period [1185–1333] manuscript, Ninna-ji collection; 1. Dai Nippon Zokuzōkyō [Supplementary Buddhist Canon].",Ninna-ji,http://tripitaka.cbeta.org/T19n0990,2016-10-04
991,19,2,大雲輪請雨經,Da Yun Lun Qing Yu Jing,Mahāmeghasūtra,那連提耶舍,譯,Narendrayaśas,Translated,隋,Sui,585,The text describes a dharani and rain making ritual with offerings to the sea of clouds and lists of names of Buddhas and dragon kings.,"Sanskrit title and date 585 from Lancaster (2004, 'K 166')",Korean Canon,http://tripitaka.cbeta.org/T19n0991,2016-10-04
992,19,1,大方等大雲經請雨品第六十四,Dafang Guangdeng Da Yun Jing Qing Yu Pin Di Liu Shi Si,Mahāmeghasūtra,闍那耶舍,譯,Jñānayaśas,Translated,北周,Northern Zhou,570,See T 991.,"Sanskrit title and date 570 from Lancaster (2004, 'K 167')",Korean Canon,http://tripitaka.cbeta.org/T19n0992,2016-10-04
993,19,1,大雲經請雨品第六十四,Da Yun Jing Qing Yu Pin Di Liu Shi Si,Mahāmeghasūtra,闍那耶舍,譯,Jñānayaśas,Translated,北周,Northern Zhou,570,See T 991.,"Sanskrit title and date 570 from Lancaster (2004, 'K 165')",Korean Canon,http://tripitaka.cbeta.org/T19n0993,2016-10-04
994,19,1,仁王護國般若波羅蜜多經陀羅尼念誦儀軌,Ren Wang Hu Guo Boreluomi Jing Tuoluoni Niansong Yi Gui,Scripture for Humane Kings for Protection of the Country Dharani Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,The text describes an esoteric ritual for the 仁王經 Scripture for Humane Kings. There are five parts: 1. attainment of spiritual virtue; 2. establishment of a mandala; 3. entering the mandala; 4. the dharani and its explanation; 5. visualization. This text is one of a group of 諸經儀軌類 sutra ritual manuals (982–1029).,"Date 720-774 from Lancaster (2004, 'K 1342')",Korean Canon,http://tripitaka.cbeta.org/T19n0994,2016-10-04
995,19,1,仁王般若念誦法,Ren Wang Bore Niansong Fa,Humane Kings Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 894.,"Date 720-774 from Lancaster (Lancaster 2004, 'K 1322')",Korean Canon,http://tripitaka.cbeta.org/T19n0995,2016-10-04
996,19,1,仁王般若陀羅尼釋,Ren Wang Bore Tuoluoni Shi,Humane Kings Dharani Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 894.,"Date 720-774 from Lancaster (Lancaster 2004, 'K 1373')",Korean Canon,http://tripitaka.cbeta.org/T19n0996,2016-10-04
997,19,10,守護國界主陀羅尼經,Shouhu Guo Jie Zhu Tuoluoni Jing,Protection of the Ruler of the State Dharani Sutra,般若共牟尼室利,譯,Prajña and Muniśrī,Translated,唐,Tang,790,"A ritual for the protection of the ruler of the state, mainly dharanis.","Date 790 from Lancaster (2004, 'K 1384')",Korean Canon,http://tripitaka.cbeta.org/T19n0997,2016-10-04
998,19,1,佛說迴向輪經,Fo Shuo Huixiang Lun Jing,Pariṇāmacakrasūtra,尸羅達摩,譯,Śīladharma,Translated,唐,Tang,790,"An esoteric ritual for transfer merit, including bodhisattva precepts and repentance.","Sanskrit title and date 790 from Lancaster (Lancaster 2004, 'K 1387')",Korean Canon,http://tripitaka.cbeta.org/T19n0998,2016-10-04
999,19,3,佛說守護大千國土經,Fo Shuo Shouhu Da Qian Guotu Jing,Mahāsahasrapramardanasūtra,施護,譯,Dānapāla,Translated,宋,Song,983,"An esoteric ritual for the blessing and protection of the state, including mantras for avoiding disasters.","Sanskrit title and date 983 from Lancaster (2004, 'K 1096')",Korean Canon,http://tripitaka.cbeta.org/T19n0999,2016-10-04
1000,19,1,成就妙法蓮華經王瑜伽觀智儀軌,Chengjiu Miaofa Lianhua Jing Wang Yujia Guan Zhi Yi Gui,Ritual for Attainment of the Wonderful Lotus Sutra Yoga Contemplation,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"An esoteric visualization ritual based on the Lotus Sutra, including verses of praise, creating and entering the mandala, visualization, blessing, mantras, and ritual offerings.","Date 720-774 from Lancaster (2004, 'K 1343')",Korean Canon,http://tripitaka.cbeta.org/T19n1000,2016-10-05
1001,19,1,法華曼荼羅威儀形色法經,Fa Hua Mantuluo Weiyi Xingse Fa Jing,Lotus Sutra Mandala Body Ritual Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See T 1000.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞高野山寶壽院藏古寫本 Source: Mount Kōya Hojuin Temple collection old manuscript.,Mount Kōya Hojuin Temple,http://tripitaka.cbeta.org/T19n1001,2016-10-05
1002,19,1,不空羂索毘盧遮那佛大灌頂光真言,Bu Kong Juan Suo Piluzhena Fo Da Guan Ding Guang Zhenyan,Amoghapāśahṛdayasūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,A text containing a short mantra that is the Unerring Lasso Vairocana Buddha consecration mantra.,"Sanskrit title and date 720-774 from Lancaster (2004, 'K 1353'). The text contains Siddham characters that are not displayed properly in the NTI Reader.",Korean Canon,http://tripitaka.cbeta.org/T19n1002,2016-10-05
1003,19,2,大樂金剛不空真實三昧耶經般若波羅蜜多理趣釋,Dale Jingang Bu Kong Zhenshi Sanmei Ye Jing Boreboluomiduo Li Qu Shi,A Commentary on the Guiding Principle of the Perfection of Insight in the Sūtra on the Unfailing True Vow of the Thunderbolt of Great Bliss,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"A commentary on the 大樂金剛不空真實三麼耶經 Adhyardhaśatikā-prajñāpāramitā-sūtra (T 243), also known as 理趣經 Rishukyō, by Amoghavajra and ritual manual. The commentary gives an explaination the origin of the Vajrayāna School and doctrine.","Date 720-774 from Lancaster (2004, 'K 1333')",Korean Canon,http://tripitaka.cbeta.org/T19n1003,2016-10-05
1004,19,1,般若波羅蜜多理趣經大樂不空三昧真實金剛薩埵菩薩等一十七聖大曼荼羅義述,Boreboluomiduo Li Qu Jing Dale Bu Kong Sanmei Zhenshi Jingang Saduo Pusa Deng Yi Shiqi Sheng Da Mantuluo Yi Shu ,Prajnaparamita Guiding Principle Sutra Great Bliss Immovable Samadhi Mantra Vajrasattva Bodhisattva Mandala of Seventeen Sages,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,See T 1003.,"Date 746-774 from Lancaster (2004, 'K 1334')",Korean Canon,http://tripitaka.cbeta.org/T19n1004,2016-10-05
1005A,19,3,大寶廣博樓閣善住祕密陀羅尼經,Dabao Guangbo Louge Shan Zhu Mimi Tuoluoni Jing,Mahāmaṇivipulavimānaviśvasupratiṣṭhitaguhyaparamarahasyakalparājadhāraṇī,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"The text praises the virtue of the Pagoda, describes a dharani, homa ritual, and explains the benefits of the ritual, which includes erasing karma from sins. The ritual is related to the worship of Buddha relics.","A Taishō footnote for this text reads: ＜原＞麗本, ＜甲＞黄檗版淨嚴等加筆本, 此經題新加 Source: Korean Canon; 1. Ōbaku Canon with notes by Jōgon; this text is newly added.",Korean Canon,http://tripitaka.cbeta.org/T19n1005A,2016-10-05
1005B,19,1,寶樓閣經梵字真言,Bao Louge Jing Fan Zi Zhenyan,Mahāmaṇivipulavimānaviśvasupratiṣṭhitaguhyaparamarahasyakalparājadhāraṇī,,,,,,,,Jeweled Tower Sutra Mantra Sanskrit text. See T 1005A.,"This text includes Siddhaṃ script that is not displayed properly. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞承安元年寫東寺三密藏本 Source: manuscript from Tō-ji Sanmitsu Canon, first year of the Jōan era [1171-1175].",Sanmitsu Canon,http://tripitaka.cbeta.org/T19n1005B,2016-10-05
1006,19,3,廣大寶樓閣善住祕密陀羅尼經,Guangda Bao Louge Shan Zhu Mimi Tuoluoni Jing,Mahāmaṇivipulavimānaviśvasupratiṣṭhitaguhyaparamarahasyakalparājadhāraṇī,菩提流志,譯,Bodhiruci,Translated,唐,Tang,706,See T 1005A.,"Sanskrit title and date 706 from Lancaster (2004, 'K 422')",Korean Canon,http://tripitaka.cbeta.org/T19n1006,2016-10-05
