Traditional	Occurences
一九	98
十一法	98
分座	98
生滅四諦	98
息苦	98
受隨	98
三形	98
提撕	98
罪性	98
靜慮律儀	98
立破	98
衍門	98
全提	98
三思	98
章疏	98
行狀	98
十大願	98
覺華	98
幽旨	98
黃葉	98
界品	97
一佛世界	97
鴦伽	97
三禮	97
那提迦葉	97
智首	97
八大地獄	97
宿德	97
摩登	97
離垢清淨	97
九字	97
宗用	97
時衣	97
一轉語	97
月光童子	97
二犯	97
權巧	97
結嘆	97
末田地	97
毘訶	96
密室	96
解脫障	96
練磨	96
慧果	96
三界九地	96
拔提	96
反照	96
占察	96
冥加	96
蘇陀	96
觀作	96
眾生垢	96
理善	96
歡喜丸	96
等諦	96
五障	96
禪尼	96
體達	96
吒婆	96
不思議智	96
要門	96
菴園	96
大寶藏	96
思禪師	96
十惡業道	96
亂行	96
稱法界	95
無量慧	95
法無礙解	95
竹葦	95
晦堂	95
鬼道	95
修習力	95
鐶釧	95
跋陀婆羅	95
檀施	95
五悔	95
圓實	95
羅剎鬼	95
八敬	95
一體三寶	95
三佛性	94
提樹	94
上轉	94
緣務	94
大悲菩薩	94
七聚	94
兩翅	94
人天乘	94
二煩惱	94
無明流	94
開甘露門	94
三使	94
說戒日	94
七見	94
寶像	94
無為法身	94
事惑	94
根本心	94
圓壇	94
智慧海	94
法性土	94
法無礙智	94
祖道	94
內道場	94
無量四諦	94
第六天	94
十成	94
香藥	93
內史	93
大曼荼羅	93
三獸	93
利喜	93
染緣	93
信手	93
熾盛光	93
施惠	93
二益	93
有心位	93
八齋	93
七賢	93
部執	93
逗機	93
無垢人	93
薩婆多部	93
耳處	93
眉間光	93
餘宗	93
歡喜行	93
一小劫	93
眾務	93
實空	93
孤露	92
綱維	92
菴摩羅	92
衰患	92
毘俱胝	92
苦言	92
作犯	92
好生	92
法華會	92
天魔外道	92
無邊法界	92
四毒蛇	92
自恣日	92
擇滅無為	92
福嚴	92
量果	92
生般涅槃	92
妙高山王	92
福慶	92
妙宗	92
愛潤	92
舊醫	92
部行	92
旋陀羅尼	92
宿作	92
慧藏	92
顯應	92
資糧位	92
念食	91
孔雀明王	91
心證	91
毘羅婆	91
三千威儀	91
意樹	91
中道觀	91
十生	91
耳入	91
假色	91
四住地	91
內眾	91
理證	91
潤業	91
分段變易	91
應天	91
敗種	91
九識	91
金剛橛	91
僧伽羅	91
淨藏	91
見性成佛	91
四韋	91
粟散	91
妙法華	91
陰境	91
三病	91
安息香	91
健陀	91
蘊善巧	90
寶乘	90
自在心	90
清規	90
二序	90
見障	90
虛心合掌	90
蓮華王	90
如來慧	90
德號	90
四重五逆	90
調伏法	90
實道	90
十六王子	90
勤舊	90
路伽	90
根力覺道	90
金剛神	90
靈應	90
堂頭	90
二十五諦	89
真實際	89
要妙	89
禪枝	89
索訶	89
顯形	89
金剛語	89
種覺	89
八偈	89
三味	89
違緣	89
護世四王	89
菩薩比丘	89
般陀	89
二十部	89
迦羅迦	89
金容	89
水囊	89
虛空無為	88
該攝	88
圓行	88
金色世界	88
堪忍世界	88
僧齋	88
分衛經	88
大乘宗	88
一髻	88
道位	88
四方僧物	88
進具	88
引聲	88
如來室	88
二餘	88
羊車	87
願身	87
三般若	87
四惡趣	87
鳩摩	87
宗匠	87
酥燈	87
清淨真如	87
十惡五逆	87
般若無知	87
思惟經	87
偏教	87
分別答	87
識藏	87
寂滅道場	86
十藏	86
衲衣	86
通會	86
四主	86
歸性	86
三餘	86
六身	86
金剛索	86
業通	86
金剛童子	86
無生觀	86
寶鐸	86
蘊魔	86
生像	86
三平等	86
鐵輪王	86
睡眠蓋	86
意密	86
空教	85
觸欲	85
二鳥	85
塔像	85
等味	85
樂神	85
寶剎	85
六波羅蜜經	85
命梵	85
世羅	85
南洲	85
淨經	85
兩界	85
行思	85
七祖	85
衣樹	85
迦迦	85
憍陳那	85
意性	85
誓願力	85
摩訶迦羅	85
空拳	85
光顏	85
無上法王	85
傳通	85
虛空藏經	84
不淨施	84
首盧	84
偏小	84
修行住	84
入信	84
無垢女	84
一心念佛	84
弟子品	84
甘露飯	84
解脫味	84
科文	84
護月	84
空如來藏	84
大乘道	84
迦樓	84
道要	84
摩娑	84
地水火風空	84
外執	84
三信	84
聞持陀羅尼	84
四含	83
半座	83
妄緣	83
大齋	83
鶴林	83
半超	83
字印	83
首楞嚴定	83
布薩日	83
雲金剛	83
針鋒	83
近緣	83
信慧	83
六難	83
真文	83
佛陀提婆	83
行妙	83
止門	83
煩惱雜染	83
大顛	83
波利質多羅	83
方袍	83
法陀羅尼	83
四藥	83
兼利	83
身密	83
首題	83
十住論	83
慧雲	83
四上	83
分別記	83
火壇	83
白報	83
大信	82
天愛	82
結願	82
五葉	82
十方淨土	82
非時漿	82
宴默	82
補陀	82
伽梵	82
應正遍知	82
三涅槃	82
老死支	82
播捨	82
有為功德	82
化功	82
修惡	82
義無礙智	82
乳藥	82
中體	82
波羅奢	82
尊儀	82
中草	82
密義	82
結經	82
白槌	82
迦提	82
毘陵	82
六觀	81
樂說無礙智	81
釋家	81
明脫	81
摩訶摩耶	81
教網	81
惡叉	81
貞實	81
剎那生滅	81
覺天	81
大小二乘	81
麤言	81
平等大慧	81
妙說	81
法門海	81
魔縛	81
金身	81
芻摩	81
迦利沙	81
愛縛	81
塵累	81
王老師	81
緣正	80
三界六道	80
解夏	80
餘念	80
薄迦	80
蓮池	80
軌持	80
平等義	80
一心歸命	80
三迦葉	80
無礙光	80
心根	80
福德藏	80
摩訶衍論	80
六齋日	80
廣大儀軌	80
七逆	80
觀力	80
四家	80
四自在	80
濁惡世	80
五十三佛	80
憐念	79
精進覺支	79
命終心	79
五印	79
義空	79
覺人	79
方壇	79
傳衣	79
五色雲	79
五夢	79
不思議經	79
方等部	79
八佛	79
禾山	79
道場神	79
三多	79
宿債	79
業義	79
五身	79
大方廣佛	79
涅槃佛	79
金剛密跡	79
摩呬	79
六道四生	79
凡僧	79
婆尼	79
佛隴	79
歸俗	79
歸命頂禮	79
三關	79
相應善	79
宿善	79
六垢	79
智慧資糧	78
三妙	78
靈照	78
掛搭	78
觀禪	78
末陀	78
戒力	78
尼戒	78
菩提樂	78
四煩惱	78
羅縠	78
前業	78
五衰	78
中胎	78
四供養	78
本來空	78
等慈	78
寶意	78
寶城	78
五痛	78
戒急	78
乘緩	78
五盛陰苦	78
露地坐	78
小草	78
嘉祥	77
性佛	77
藏海	77
分段身	77
身精進	77
爪上	77
聖應	77
智母	77
流來	77
問話	77
赤衣	77
性力	77
五師	77
地內	77
體信	77
薜舍	77
理惑	77
能寂	77
重關	77
婆叉	77
茶湯	77
婬戒	77
慧目	77
淨方	77
四弘誓	77
練行	77
四縛	77
天語	77
崇信	77
怛剎那	77
小根	76
十玄	76
貪使	76
近住律儀	76
十七地	76
九無礙道	76
實相義	76
四大聲聞	76
金蓮	76
三種智	76
敬田	76
苾芻律儀	76
陀天	76
犍稚	76
水羅	76
一觸	76
自性善	76
心心數	76
到岸	76
勝論師	76
三迷	76
齋會	76
幻心	76
睒彌	76
香蓋	76
靈覺	76
行教	75
入院	75
付法藏傳	75
照寂	75
一中劫	75
幽靈	75
因緣生死	75
變化土	75
惡道畏	75
過夏	75
寶坊	75
二學	75
七空	75
大法螺	75
肥膩	75
四不可說	75
論家	75
法船	75
追福	75
辭無礙智	75
擇地	75
如來禪	75
淨語	75
空無邊處定	75
五通仙	75
普禮	75
俗流	74
三甜	74
妙賢	74
讀誦大乘	74
波崙	74
聚墨	74
惑染	74
吳音	74
要津	74
毘摩羅	74
漏盡力	74
六聚	74
頭陀行	74
盲龜	74
說一切智	74
無間修	74
寶掌	74
一法印	74
神女	74
巧度	74
四枯	74
煩惱藏	74
應護	74
一心正念	74
一心專念	74
無明見	74
食戒	74
句偈	74
中洲	74
中諦	74
三義觀	74
十因緣	74
善見論	73
國土身	73
彌盧	73
支遁	73
覺海	73
善見律	73
第一義智	73
淨肉	73
冥顯	73
香象菩薩	73
中間定	73
發起序	73
靈廟	73
金色女	73
疑見	73
法界藏	73
青原	73
無量稱	73
法性宗	73
梵身天	73
大念	73
四山	73
印土	73
福田經	73
無生四諦	73
蓮華眼	73
三世智	73
離蓋	73
圓機	73
誦律	73
等願	73
羅閱	73
可中	73
二尊	73
婆達	73
柔軟語	72
十四難	72
法雷	72
滿果	72
二漏	72
真詮	72
理致	72
三禪樂	72
真要	72
放光經	72
智慧火	72
無明惑	72
掩室	72
拙度	72
嘉會	72
四禪定	72
三百由旬	72
中印	72
寶渚	72
光統	72
四施	72
花座	72
天食	72
心水	72
高六	72
乾城	71
跏坐	71
舍脂	71
藕絲	71
瓣香	71
黑衣	71
遠離樂	71
法慳	71
劍波	71
三具足	71
修利	71
四忍	71
廣大義	71
事禪	71
瘡門	71
兩部	71
妙喜世界	71
子果	71
神策	71
心縛	71
深藏	71
婆利師	71
心遠離	71
事證	71
智慧觀	71
瞿摩	71
辯無礙解	71
四沙門	71
大覺世尊	70
十科	70
心寶	70
緣想	70
法身如來	70
愛業	70
三堅	70
鳥道	70
荷澤	70
害想	70
人界	70
灌頂住	70
金蓮華	70
三律儀	70
像末	70
道種性	70
單提	70
縛底	70
增悲	70
八藏	70
真如三昧	70
判釋	70
淨影	70
母經	70
瞿師羅園	70
心月	70
吹毛	70
神變加持	70
華梵	70
穢身	70
上輩	70
藥王品	70
緣念處	70
道記	70
百錄	69
諷頌	69
贖命	69
毒鼓	69
上手	69
般若心經	69
五轉	69
十小劫	69
穢食	69
四瀑流	69
柰女	69
王仙	69
遶塔	69
精魂	69
烏摩	69
五論	69
義心	69
赴請	69
虛空神	69
六根淨	69
諦善巧	69
光明經	69
四真	69
清淨土	69
八成	69
功德田	68
性覺	68
啐啄	68
五繫	68
煩惱薪	68
野鹿	68
三魔	68
華報	68
三性分別	68
解行地	68
鷲山	68
根淨	68
等供	68
中觀論	68
六凡	68
繫珠	68
結賊	68
一拶	67
二十唯識	67
三賢位	67
十七句	67
滿宿	67
心光	67
五色粉	67
後陳	67
普明王	67
悲田	67
化教	67
空際	67
樹頭	67
存命	67
善世	67
五燒	67
兜術	67
持蓮華	67
二妙	67
道器	67
生變	67
法寶藏	66
貪結	66
鉗鎚	66
教寺	66
異熟障	66
第五大	66
七轉識	66
有漏善法	66
柳枝	66
門師	66
行供養	66
閻摩羅	66
偈句	66
閼伽器	66
妙覺地	66
法鏡	66
六大賊	66
赤眼	66
點茶	66
學侶	66
沙劫	66
六種性	66
五縛	66
南天	66
緣覺菩提	66
毘婆沙論	66
九祖	65
果頭	65
正受三昧	65
團食	65
尼提	65
持淨	65
十道	65
金剛體	65
付法藏經	65
寶鏡	65
五印度	65
雲華	65
智妙	65
清淨涅槃	65
清淨法眼	65
覺城	65
後堂	65
縛芻	65
不空成就如來	65
吟詠	65
參問	65
莊嚴門	65
九品惑	65
冥寂	65
冥性	65
心真	65
憍梵	65
西域傳	65
內種	65
法蘭	64
事造	64
獼猴池	64
懺摩	64
開度	64
燈明佛	64
五邪	64
斫芻	64
殺鬼	64
二圓	64
香海	64
運心供養	64
初禪定	64
如來藏經	64
普印	64
五山	64
定性二乘	64
樹經	64
藥石	64
冥感	64
七金山	64
十法行	64
調意	64
八魔	64
毘蘭若	64
輕觸	64
現喻	64
四持	64
摩樓	64
佛性常住	64
有漏智	63
妙供	63
無垢眼	63
空界色	63
真如隨緣	63
六瑞	63
旋嵐	63
大苦海	63
冥官	63
化跡	63
智水	63
心鏡	63
有為果	63
魂魄	63
證發心	63
調熟	63
畫水	63
十剎	63
密法	63
冥應	63
有為無漏	63
苦覺	63
舞戲	63
涅槃際	62
愛眼	62
閃電光	62
勸誡	62
參堂	62
睒經	62
破夏	62
菩提門	62
菩提薩埵摩訶薩埵	62
四念處觀	62
波伽羅	62
死狗	62
器量	62
冤親	62
忍地	62
嘆佛	62
八時	62
住持佛	62
十六法	62
淨行經	62
德海	62
中輩	62
尼衣	62
遠離處	62
天機	62
燈菩薩	61
吉慶	61
慈門	61
六到彼岸	61
刀風	61
六譬	61
度牒	61
二福	61
六菩薩	61
四師	61
落謝	61
羯磨僧	61
破齋	61
今圓	61
真丹	61
瑜伽經	61
試經	61
禪學	61
行儀	61
藏殿	61
迦摩羅	61
該羅	61
五天竺	61
乳色	61
破凡夫	60
不空如來藏	60
緊陀羅	60
摩沙	60
金色王	60
異轍	60
體滅	60
牛戒	60
四記	60
白蓋	60
金剛藥叉	60
般若多羅	60
根本識	60
要路	60
僧伽羅剎	60
隨藍	60
大信心	60
摩離	60
違境	60
邪網	60
菩提經	60
智山	60
帝心	60
童行	60
九遍知	60
肉心	60
法身無相	60
德香	60
八供養	60
摩訶衍經	60
二加	60
三福業	60
形身	60
魔佛	60
光伴	60
定印	60
鶴勒那	59
八喻	59
多羅葉	59
金河	59
決定業	59
毘楞伽	59
沈空	59
拘摩羅	59
因明論	59
善現行	59
妙應	59
易往	59
沙訶	59
佉梨	59
三十五佛	59
冥機	59
嚼食	59
久遠劫	59
顯機	59
提婆達多品	59
心戒	59
淨域	59
應土	59
帝釋宮	59
報命	59
決定住	59
三治	59
空雲	59
隨緣不變	59
法布施	58
五無量	58
言陳	58
鷲頭	58
破情	58
月光王	58
觀樹	58
降伏法	58
轉起	58
真形	58
二十五部	58
智慧燈	58
二世尊	58
仁王般若經	58
行像	58
無盡法界	58
法界緣起	58
知論	58
一麥	58
光寶	58
羯磨金剛	58
賓頭	58
二諦觀	58
涅槃僧	58
見牛	58
法文	58
信成就發心	58
有為無常	58
純真	58
學悔	58
波羅門	58
樂邦	58
記室	58
二空觀	58
禪教	57
變易身	57
逝心	57
增益法	57
龍勝	57
義存	57
緣影	57
幻身	57
般若菩薩	57
立雪	57
修習位	57
照鏡	57
寶藏神	57
如來使	57
頂光	57
君持	57
智願	57
生生不可說	57
飛行皇帝	57
淨主	57
觀心釋	57
法界觀	57
生死長夜	57
覺位	57
振鈴	57
圓教四門	57
玄覽	57
五海	57
世間三昧	57
識無邊處定	57
滅理	57
指月	57
實相觀	56
導化	56
禪律	56
法性生身	56
脫體	56
摩達	56
空處定	56
黃泉	56
八觸	56
覺路	56
毳衣	56
無縫塔	56
覺範	56
大會眾	56
落草	56
聖種性	56
六德	56
緣起門	56
難拏	56
無垢識	56
提唱	56
大聖世尊	56
四慧	56
地塵	56
愛火	56
說默	56
三印	56
金精	56
詮旨	56
正意經	56
無垢稱經	56
降誕	56
死句	56
示悟	56
果縛	56
七聲	56
羅漢比丘	56
龍尊	56
法橋	56
內外道	55
淨門	55
遺形	55
劍印	55
虛空眼	55
十一智	55
聲論師	55
大羅漢	55
緣塵	55
玄策	55
婆哆	55
瞎驢	55
彌迦	55
紺髮	55
畫瓶	55
內學	55
有餘土	55
上足	55
巴陵	55
二變	55
流轉還滅	55
清淨三昧	55
妄習	55
無盡慧	55
權現	55
十三難	55
大海眾	55
瞋恚使	55
披剃	55
尼連河	55
四欲	55
金水	55
梵響	55
背正	55
四軛	54
見毒	54
慢見	54
小宗	54
朱利	54
到頭	54
摩耶經	54
直歲	54
菩薩十住	54
偏空	54
蓋天	54
法同分	54
律法	54
羯磨部	54
慈眼	54
無垢地	54
乳木	54
天王如來	54
一臘縛	54
小遠	54
爪塔	54
十一空	54
剎竿	54
輕毛	54
毘嵐	54
法藏比丘	54
轉物	54
目足	54
語密	54
薩羅國	54
生滅觀	54
末田	53
冥益	53
金剛眾	53
毘舍佉優婆夷	53
大疏	53
緇徒	53
方便土	53
杖林	53
三逆	53
竺乾	53
警策	53
行信	53
凡身	53
僧可	53
策修	53
摩尼跋陀	53
大道心	53
真門	53
玄道	53
香色	53
七聖	53
法融	53
六隨眠	53
不定種性	53
不退轉法輪	53
作梵	53
集解	53
慧忍	53
戒藏	53
迦藍	53
定答	53
日宮	53
世親攝論	53
釋翅	53
機教	53
驢年	53
結漏	53
邪倒見	53
圓乘	53
水觀	53
宗家	53
幻力	52
玄路	52
喻體	52
現前授記	52
師匠	52
世自在王	52
寶主	52
事障	52
妄業	52
護法心	52
行益	52
大伽藍	52
大悲觀世音	52
法處色	52
十一識	52
三昧聲	52
鬼見	52
分段死	52
輕安覺支	52
十力尊	52
幽途	52
假名菩薩	52
無盡財	52
世路	52
離奢	52
弘景	52
四藏	52
慧寂	52
覺滿	52
兜率天子	52
六宗	52
慶讚	52
道場樹	52
淨髮	52
分喻	52
迷途	52
七僧	52
理法界	52
佛種姓	52
寶女經	52
精進方便	52
葷辛	52
常住僧物	52
身寂靜	52
摩訶提婆	52
唯心淨土	52
疑執	52
無比法	52
利使	52
指印	51
四達	51
十善戒	51
體露	51
金剛軍	51
五諦	51
有漏果	51
生無性	51
印信	51
外供養	51
同味	51
機要	51
可惜許	51
僧訶	51
欲泥	51
明靜	51
林藤	51
根本法輪	51
謦咳	51
譬喻說	51
大夢	51
優陀延王	51
二種子	51
童真住	51
心樹	50
多障	50
三金	50
七寶華	50
十家	50
鹿車	50
安般經	50
覆講	50
敷華	50
參請	50
現益	50
三雜染	50
石佛	50
有為解脫	50
恩田	50
智月	50
信種	50
世福	50
論用	50
僧祇部	50
禪居	50
三十六句	50
明堂	50
生老病死苦	50
八恒河沙	50
九慢	50
螺髻梵志	50
師子尊者	50
大魔	50
穢業	50
眾寮	50
像季	50
三界火宅	50
堅固意	50
勝義法	50
束蘆	50
金針	50
風刀	50
船子	50
巡堂	50
污戒	50
品具	50
阿修羅宮	49
六業	49
貫華	49
貪濁	49
提衣	49
劫樹	49
今案	49
七喻	49
三業供養	49
石蜜漿	49
甘露法雨	49
念念無常	49
解脫堅固	49
迴向方便	49
隨喜品	49
向上一路	49
精進鎧	49
狗戒	49
行童	49
塞迦	49
覺意三昧	49
事法界	49
證文	49
加力	49
戒門	49
山家	49
身安樂	49
華水	49
十夢	49
根敗	49
迷生	49
邊際智	49
法華經論	49
乳味	49
三昧佛	49
愛流	49
加祐	49
生死岸	49
五百部	49
禪鎮	49
昆勒	48
不動明王	48
神通第一	48
闍世	48
一拳	48
世語	48
納戒	48
體智	48
地結	48
空點	48
五宗	48
新歲	48
賢豆	48
虛空華	48
無上正遍知	48
奔荼	48
冥室	48
佛語心	48
骨身	48
獨空	48
十六知見	48
轉法輪菩薩	48
色具	48
四大菩薩	48
四轉	48
出家入道	48
往生論	48
五住地	48
三善道	48
普光如來	48
四惡道	48
四鎮	48
勝幡	48
業種子	48
心月輪	48
教益	48
跨節	48
心師	48
懺儀	48
一心三智	48
瞋火	47
滿財長者	47
文字般若	47
善見城	47
顯加	47
重空	47
怛縛	47
信首	47
啞羊	47
法空觀	47
陀羅驃	47
能活	47
娑度	47
求羅	47
磨灑	47
數門	47
法無我智	47
品題	47
點淨	47
邪山	47
小三災	47
慈意	47
五滓	47
甲冑印	47
優陀羅	47
勝義無性	47
靈山會上	47
劫石	47
權跡	47
妙土	47
內煮	47
超越三昧	47
遊戲三昧	47
淨滿	47
無垢世界	47
多聞第一	47
羯利	47
堅牢地神	47
身田	47
觸毒	46
寶積佛	46
十一門	46
要術	46
懺悔品	46
行要	46
劣智	46
性識	46
梵魔	46
四馬	46
法界佛	46
對法宗	46
大轉輪王	46
索欲	46
事現觀	46
三空門	46
戒羯磨	46
索菩薩	46
強緣	46
十力迦葉	46
禪河	46
下生經	46
六決定	46
塔婆	46
淨屋	46
地論師	46
十六菩薩	46
尸羅清淨	46
寂場	46
二種性	46
冥資	46
像觀	46
宗祖	46
心華	46
四禁	46
譯主	46
一盲	46
靈神	46
十師	46
月宮	46
佛髮	46
灑水	46
黑耳	46
苦縛	45
地前三賢	45
計度分別	45
專想	45
竺難提	45
潔齋	45
三十生	45
甘露滅	45
大叫喚地獄	45
法驗	45
放光動地	45
寶誌	45
十六大菩薩	45
尊形	45
語路	45
歡喜團	45
迦羅邏	45
修懺	45
打鐘	45
護念經	45
行足	45
瞋覺	45
隨念分別	45
弘誓鎧	45
一源	45
機見	45
話墮	45
藥王樹	45
身遠離	45
靜慮生	45
羊僧	45
因緣釋	45
食經	45
灌洗	45
毘世	45
罥索	45
人寶	45
毘舍支	45
心宗	45
知足天	45
十四忍	45
勸發品	45
正行經	45
日種	45
通達位	45
觀音經	44
十二佛	44
法社	44
宿夜	44
楷定	44
四機	44
加持香水	44
擇時	44
問禪	44
鈴杵	44
骨山	44
眾生忍	44
縛羅	44
字緣	44
實相門	44
吒王	44
慧忠	44
廣大轉	44
樊籠	44
月藏經	44
人我見	44
八位	44
修行門	44
雲居山	44
智慧劍	44
四親近	44
心出家	44
北宗	44
大空點	44
大命	44
二往	44
心器	44
銅輪王	44
牒文	44
教典	44
五藥	44
明炬	44
吉祥天	44
滅惡趣	43
別教四門	43
白塔	43
賢護經	43
煩惱河	43
世眼	43
一炷	43
機用	43
三慈	43
上草	43
單傳	43
普賢三昧	43
金仙	43
羅惹	43
死門	43
六諦	43
興行	43
二轉依	43
精廬	43
忍辱經	43
帖釋	43
彌蘭	43
時外道	43
四諍	43
丸香	43
蒙潤	43
像經	43
三昧相應	43
宗途	43
德護	43
出世果	43
僧界	43
十六會	43
子縛	43
如來藏心	43
煩惱礙	43
大圓覺	43
觀支	43
名言種子	43
遺誡	43
無諍智	43
迷境	43
普賢如來	43
意學	43
難陀跋難陀	43
冥一	43
靈像	43
寢堂	43
心念法	43
扶根	43
捕鼠	43
普賢品	43
踰闍	43
華手	43
三摩地印	42
麟喻	42
正法律	42
風鈴	42
水塵	42
能安忍	42
心塵	42
燈指	42
大樂金剛	42
主喪	42
道樂	42
六煩惱	42
瞥地	42
天眼力	42
十識	42
雲門	42
報謝	42
義少	42
色眾	42
順緣	42
為人悉檀	42
影草	42
戒足	42
海德	42
發願文	42
睒摩	42
百八煩惱	42
二乳	42
小乘三藏	42
十諦	42
字界	42
皮袋	42
漏業	42
稠禪師	42
十寶山	42
發菩提心論	42
佛生日	42
橫截	42
禪波	42
檀特	42
刊定記	42
不動義	42
真言心	42
浴像	42
庶類	42
調伏藏	41
滅業	41
活句	41
四事經	41
八不淨	41
精室	41
饒舌	41
應應	41
華嚴法界	41
憂海	41
人天教	41
內障	41
華天	41
種性住	41
梵女	41
冥通	41
摩訶那伽	41
黑齒	41
四假	41
厭魅	41
四空處	41
業報身	41
鞞陀	41
見軛	41
邪見網	41
金剛拳菩薩	41
六現觀	41
十無盡藏	41
觀如來身	41
懷讓	41
阿蘭若行	41
權門	41
微聚	41
世間禪	41
精識	41
遠劫	41
愛想	41
九執	41
四通行	41
慧利	41
深淨	41
同居淨土	41
冥諦	41
那羅延身	41
現般涅槃	41
智劍	41
羯娑	41
無上上	41
衣寶	41
色縛	41
福伽羅	41
靈龕	41
濁業	41
金剛拳印	40
圓伏	40
五戒法	40
勝子	40
因緣變	40
假和合	40
騰蘭	40
不思議變	40
僧官	40
思大	40
覺德	40
事鈔	40
二教論	40
火院	40
果報土	40
金杖	40
三機	40
僧祇戒本	40
緣覺身	40
粥罷	40
結病	40
一惑	40
七返生	40
十九出家	40
孛經	40
十玄門	40
不思議身	40
佛月	40
惡世界	40
陀羅尼三昧	40
正像	40
無常迅速	40
三恒河沙	40
毘盧遮那經	40
雲堂	40
毘舍婆	40
烏耆	40
海雲比丘	40
勝士	40
中道實相	40
心諦	40
聖儀	40
結眾	40
空執	40
金剛水	40
禿人	39
五種性	39
殘果	39
六論	39
木食	39
五食	39
妙法藏	39
加持身	39
耆山	39
誡門	39
三十捨墮	39
二凡	39
梵宇	39
八塔	39
五部法	39
剎摩	39
神通妙	39
四塔	39
婆羅門僧	39
宿命力	39
慈辯	39
八論	39
不淨說法	39
寶塔品	39
五陰世間	39
二翼	39
調伏行	39
德田	39
興渠	39
賓伽羅	39
活人劍	39
壞見	39
觀象	39
蠟印	39
虛空喻	39
清齋	39
減劫	39
摸象	39
覺王	39
敬愛法	39
眾道	39
二始	39
法王子住	39
如意珠王	39
愛毒	39
齋僧	39
香合	39
忌日	39
承遠	39
大乘法師	39
波利迦羅	39
四加行	39
自在人	39
禪帶	39
微行	39
無上世尊	39
行廁	38
四樹	38
懺悔文	38
仁祠	38
阿毘曇經	38
衣珠	38
鬘菩薩	38
提調	38
劫波育	38
福城	38
百僧	38
執曜	38
煩惱餘	38
實相印	38
觝突	38
性火	38
觸穢	38
草創	38
一弓	38
肉山	38
疑根	38
菩薩號	38
十過	38
不思議劫	38
飛仙	38
齋粥	38
愛根	38
八支齋	38
四量	38
光明玄	38
大弘誓	38
後五百年	38
歡喜三昧	38
機性	38
地波羅蜜	38
三能變	38
娑羅樹王	38
二河	38
百八三昧	38
別解脫經	38
五百戒	38
宗源	38
佛宗	38
琰魔	38
法尼	38
三法界	38
寶積經論	38
淨波羅蜜	38
密付	38
十八會	38
蓮經	38
欲鉤	38
慢山	38
蓮華尊	38
仙經	38
冥福	38
言味	38
波羅陀	38
金剛針	38
涅槃會	38
二法身	37
三業相應	37
死漢	37
法我見	37
慧苑	37
自在天宮	37
念佛三昧經	37
種子心	37
三鈷	37
聖諦現觀	37
丘井	37
法網	37
如來會	37
師祖	37
寶積三昧	37
真如實相	37
天眼智	37
深防	37
四法經	37
毛繩	37
檀捨	37
圓佛	37
法山	37
六度經	37
煖位	37
道邃	37
香姓	37
十魔	37
法乳	37
白飯王	37
五佛子	37
阿育王塔	37
鍵南	37
烏臼	37
嚕多	37
八波羅夷	37
國土世間	37
天堂地獄	37
貪欲使	37
禪僧	37
白足	37
度使	37
揭底	37
印宗	37
灌臘經	37
丹田	37
五翳	37
三供養	37
邪聚	36
存生	36
限分	36
剎柱	36
醫方明	36
玄悟	36
半錢	36
增戒學	36
一漚	36
鼓天	36
行華	36
五師子	36
毒器	36
洞上	36
清涼國師	36
出生義	36
死緣	36
西方師	36
通覆	36
業火	36
五聲	36
相應不善	36
四慢	36
遺訓	36
五大色	36
信心歡喜	36
增益邊	36
渴鹿	36
自性行	36
天子魔	36
蓮華合掌	36
八水	36
瞋想	36
貪煩惱	36
商迦	36
圓頓教	36
二乘作佛	36
二印	36
常住二字	36
鐵樹	36
暗蔽	36
棲神	36
慧縛	36
愛菩薩	36
折伏攝受	36
僧戒	36
十仙	36
娑伽陀	36
尼摩羅	36
小僧	36
彌醯	36
沈檀	36
十善巧	36
息慈	36
尊老	36
徙多	36
銀輪王	36
化女	35
四苑	35
乳光	35
解脫海	35
去行	35
十三僧殘	35
自性禪	35
等眾生界	35
曲木	35
華嚴三昧	35
天耳智	35
釋宮	35
愛論	35
事懺	35
萍沙	35
日藏經	35
舉哀	35
神通經	35
願公	35
金剛波羅蜜	35
六句義	35
多散	35
蓮宗	35
十法經	35
忍辱地	35
末梨	35
四相違	35
寶幢如來	35
安立真如	35
摩佉	35
五香	35
驅烏	35
開蓮	35
影事	35
一吹	35
瞻博	35
四金剛	35
金剛薩埵菩薩	35
金剛使者	35
四忘	35
事度	35
闡教	35
八等至	35
光趺	35
真儀	35
灌佛	35
禪窟	35
檀信	35
四法成就	35
良日	35
通教四門	35
性土	35
十真如	35
法輪僧	35
聖教序	35
王日	35
言端	35
真實身	35
仁尊	35
三水	35
方便菩提	35
衣囊	35
法性真如	35
齋七	35
牢籠	35
鉤菩薩	35
高足	35
瞿婆	35
內護摩	35
兜婆	35
不善律儀	35
大聖主	35
能人	35
佉沙	35
眾園	35
真荼	35
開爐	34
三不能	34
雲棲	34
通受	34
解行發心	34
眾生迴向	34
無言說道	34
照堂	34
無礙人	34
顯色貪	34
天鬼	34
修齋	34
普供	34
法身大士	34
楞嚴三昧	34
二流	34
經單	34
苦行林	34
用滅	34
清涼寺	34
甘露界	34
異慧	34
最後念	34
加行果	34
教判	34
跋闍羅	34
觀音院	34
談義	34
十八賢	34
住僧	34
佉盧	34
師保	34
小空	34
三梵	34
輸羅	34
大幻師	34
白雲宗	34
法恩	34
禺中	34
一念隨喜	34
提河	34
